name,composition,uses,side_effects,category,manufacturer,requires_prescription,is_otc,symptom_keywords,recommendation_note,price,stock,image_url,source_url
Alendion,,", Dosis, Cara Penggunaan dan Efek Samping"",""meta_description"":""Ingin tau Gentamicin obat apa, cari tau Manfaat, Dosis \u0026 Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""thumbnail_url"":""https://s3-publishing-cmn-svc-prd.s3.ap-s",Konsultasikan dengan dokter,Antijamur & Kulit,,False,True,", dosis, cara penggunaan dan efek samping"",""meta_description",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-kulit/alendion
Alerdex,,"dan Efek Samping"" data-next-head=""""/>",Konsultasikan dengan dokter,Flu & Pilek,,False,True,"dan efek samping"" data-next-head=""""/>",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-batuk-pilek-dan-flu/alerdex
Alerfed,,"dan Efek Samping"" data-next-head=""""/>",Konsultasikan dengan dokter,Flu & Pilek,,False,True,"dan efek samping"" data-next-head=""""/>",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-batuk-pilek-dan-flu/alerfed
Alergine,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Alergi & Gatal,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-alergi/alergine
Alergo,,"dan Cara Pemakaian"",""meta_description"":""Informasi lengkap obat Propolis SM; Harga, Manfaat, Dosis \u0026 Cara Pakai, Kandungan, Efek Samping, dan lainnya di sini."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""thumbnail_url"":""https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws",Konsultasikan dengan dokter,Herbal & Tradisional,,False,True,"dan cara pemakaian"",""meta_description"":""informasi lengkap ob",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-herbal/alergo
Alermax,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Alergi & Gatal,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/drugs/aZ2ykZ2RKIxZ9-Qhb9cpi/original/1667310000-Alermax.jpg,https://www.klikdokter.com/obat/obat-alergi/alermax
Alernitis,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Alergi & Gatal,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-alergi/alernitis
Alernox,,", Dosis, dan Efek Samping"",""meta_description"":""Proxona adalah obat dengan kandungan dexchlorpheniramine maleate dan dexamethasone untuk meringankan gejala alergi dan radang. Ini manfaat, harga, dosis, efek sampingnya."",""meta_robots_index"":""index"",""meta_robots_follow"":""follow"",""thumbnail_url"":""https:",Konsultasikan dengan dokter,Alergi & Gatal,,False,True,alergi,Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-alergi/alernox
Aleros,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Alergi & Gatal,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/obat-alergi/aleros
Alfabio,,", Dosis &amp; Cara pakai, Kandungan, Efek Samping, dan lainnya di sini."" data-next-head=""""/>",Konsultasikan dengan dokter,Nyeri & Demam,,False,True,", dosis &amp; cara pakai, kandungan, efek samping, dan lainn",Sumber: KlikDokter,,,,https://www.klikdokter.com/obat/gangguan-tulang-otot-dan-sendi/alfabio
